"","search_string","unique_name","approximate_match","ott_id","is_synonym","flags","number_matches"
"1","dolichandra unguis-cati","Dolichandra unguis-cati",TRUE,"1001573",FALSE,"","3"
"2",NA,NA,NA,NA,NA,NA,NA
"3",NA,NA,NA,NA,NA,NA,NA
"4","verbesina heterophylla","Berberis heterophylla",TRUE,"365003",FALSE,"","8"
"5","zanthoxylum clava-herculis","Zanthoxylum clava-herculis",TRUE,"3942437",FALSE,"","3"
